Substrates	Kinases
ACM1_421_433	BARK1 PKCA FRAY PDHK VRK2
ACM1_444_456	BARK1 CDK CK1 DAPK DMPK DYRK ERK GSK IRAK JNK MLCK P38 PDK1 PEK PHK PIM PKCA RSK VRK2
ACM4_456_468	BARK1 FRAY MELK PDHK PDK1 PIM PKCA PKCH VRK2
ACM5_494_506	BARK1 FRAY PDHK PDK1 PEK PKCA VRK2 WNK
ACM5_498_510	BARK1 FRAY MLK PDHK PDK1 PEK PKCA PKCH VRK2
ADDB_696_708	BARK1 CDK CK1 DMPK DYRK ERK GSK IKK JNK MELK MST NEK P38 PDK1 PEK PKCA PKCH PLK QIK RIPK STE7 VRK1 VRK2
ADDB_706_718	BARK1 CDK CHK1 DMPK DYRK ERK JNK MAPKAPK MST NEK P38 PAKA PDHK PDK1 PEK PHK PIM PKCA PLK RAD53 RSK VRK2
ADRB2_338_350	AKT BARK1 CAMK1 CDK CHK1 DMPK GRK PAKA PKA PKCA PKCI PKG RAD53 RSK VRK2
AKT1_301_313	BARK1 CAMK2 CAMKK CDK DYRK ERK GSK IKK JNK LKB MST MTOR P38 PDHK PDK1 PEK PKCA PKD PLK RIPK STE11 STE7 VRK2
ANDR_785_797	AKT ATR BARK1 DMPK PHK PIM PKA PKD RAF RSK VRK2
ANXA1_209_221	AKT BARK1 DMPK PHK PKA PKCA PKG RSK VRK2
ATF2_47_59	BARK1 CDK CK1 DYRK ERK GRK GSK JNK MST MTOR NMO P38 PDK1 PEK PKCA PLK QIK STE7 TTK VRK1 VRK2
ATM_1972_1984	AMPK ATM ATR BARK1 CDK CK1 CK2 DMPK IKK JNK MELK MST NEK NUAK PDHK PEK PHK PKCA PLK PRKDC QIK RIPK STE7 ULK VRK2
BAD_69_81	AKT BARK1 CDK DMPK ERK MELK MTOR PAKA PAKB PDHK PDK1 PEK PHK PIM PKA PKCA PKCI PKD PKG QIK RAD53 RAF RSK SGK VRK2
BAD_93_105	AKT BARK1 DMPK MAPKAPK PAKA PHK PIM PKA PKCA PKCI PKD PKG QIK RAF RSK SGK VRK2
BAD_112_124	AMPK BARK1 CK1 DMPK FRAY IRAK NEK PAKA PDHK PEK PHK PIM PKA PKCA PKCI PKD PKG QIK RAF RSK STE7 VRK2
BCKD_45_57	AKT BARK1 CDK DMPK FRAY GRK IKK MAPKAPK MELK MLCK MST PAKA PDHK PDK1 PEK PHK PIM PKA PKCA PKG PLK QIK RSK SGK STE7 VRK2
BRCA1_1451_1463	ATM ATR BARK1 CDK CK1 DMPK ERK IKK JNK PDHK PEK PHK PKCA PLK PRKDC QIK RIPK STE7 VRK2
C1R_201_213	BARK1 CDK CK1 CK2 DMPK DYRK ERK IRAK JNK P38 PDHK PEK PHK PKCA PLK QIK STE7 STKR VRK2
CA2D1_494_506	BARK1 DMPK DYRK ERK PAKA PEK PKCA PKCH PKN RAD53 VRK2
CAC1C_1974_1986	BARK1 CAMK1 MAPKAPK PDHK PHK PIM PKCA PKD PKG QIK RAD53 RIPK RSK VRK2
CD27_212_224	AKT BARK1 CDK DMPK ERK IKK JNK P38 PDHK PEK PHK PIM PKCA PKD QIK RSK VRK2
CDC2_154_169	BARK1 CDK COT PEK PKG RSK STE7 VRK2
CDK7_163_175	BARK1 CDK DMPK DYRK FRAY JNK MAPKAPK MST MTOR P38 PDK1 PEK PHK PIM PKCA PKCI PRKDC QIK STE7 VRK2
CDN1A_139_151	AKT BARK1 CDK DAPK DMPK IKK MELK NDR PEK PHK PIM PKCA PKD RIPK RSK STE7 VRK2
CDN1B_151_163	AKT ATR BARK1 CAMK1 CAMK2 CDK CK1 IKK NAK NEK P38 PDHK PEK PHK PIM PKCA PLK QIK RAF RSK SGK STE7 VRK2
CENPA_1_14	AUR BARK1 DMPK MAPKAPK PIM PKCA PKG VRK2
CFTR_730_742	AMPK BARK1 CAMK2 CDK DAPK DYRK GRK IKK MAPKAPK PAKA PDHK PEK PHK PKA PKCA PKD PKG QIK RAD53 RSK VRK2
CFTR_761_773	AMPK BARK1 DMPK IKK PAKA PHK PKA PKCA PKD PKG QIK RSK VRK2
CGHB_109_121	AKT BARK1 CAMK2 DMPK IKK MTOR PDHK PDK1 PEK PKA PKCA PKG RSK VRK2
COF1_17_29	AKT BARK1 CDK CK1 DMPK DYRK ERK IKK MAPKAPK MST P38 PDK1 PHK PIM PKCA PKG PLK QIK RAF RIPK RSK VRK2
CREB1_126_138	AMPK ATM BARK1 CAMK1 CAMK2 COT DMPK DYRK GSK MAPKAPK PDHK PHK PIM PKA PKCA PKCD PKCH PKD QIK RAD53 RSK SGK VRK2
CSF1R_701_713	AMPK BARK1 CDK CK1 DMPK PDHK PEK PIM PKA PKCA PKG RSK VRK2
CSK21_355_367	BARK1 CDK CK1 DYRK ERK IKK JNK MTOR P38 PDK1 PHK PLK QIK RAF RSK STE7 VRK2
DCX_49_61	BARK1 CDK CK1 ERK MAPKAPK PEK PIM PKCA PKCH QIK RSK VRK2
DESP_2842_2854	AMPK BARK1 CAMK1 CDK CK1 DMPK GSK IKK MAPKAPK P38 PDHK PDK1 PEK PHK PIM PKA PKCA PKG QIK RIPK RSK SGK STE11 STE7 VRK2
E1A_ADE05_212_224	BARK1 CDK DMPK DYRK IKK P38 PDK1 PEK PHK PKCA PKD QIK RAD53 RAF VRK2
ELK1_356_368	BARK1 CDK DYRK ERK FRAY JNK LKB NMO P38 PDK1 PEK STE7 VRK2
ELK1_410_422	BARK1 CDK CK1 DYRK ERK JNK MAPKAPK NMO P38 PDK1 PEK PHK PKCA PLK QIK STE7 STKR VRK2
EPB42_241_253	BARK1 DMPK PHK PIM PKA PKCA PKG RAD53 RSK VRK2
ERBB2_679_691	BARK1 DMPK PHK PIM PKA PKCA PKCD PKCH PKG RSK VRK2
ERF_519_531	BARK1 CDK CHK1 DAPK DMPK DYRK ERK IRAK MST P38 PDK1 PEK PIM PKA PKCA PKG RAD53 RSK VRK2
ESR1_160_172	AKT AUR BARK1 CK2 DMPK IKK PEK PHK PIM PKCA RSK STE11 STE7 VRK2
F263_454_466	AKT AMPK BARK1 CDK CHK1 DMPK DYRK ERK GSK MAPKAPK PDK1 PEK PHK PKA PKCA PKD QIK RSK VRK2
FIBA_569_581	BARK1 CDK CK1 DAPK DMPK ERK GSK HAL IKK JNK MLCK MST PDHK PEK PHK PIM PKA PKCA PKG PLK QIK RAF RIPK RSK SGK STE7 VRK2
FOXO3_25_37	AKT BARK1 CDK ERK MAPKAPK P38 PHK PIM PKCA QIK RAF RSK SGK VRK2
FRAP_2443_2455	AKT AMPK BARK1 CK1 DAPK DMPK MAPKAPK MELK MLK MSN MTOR NEK PDHK PDK1 PEK PHK PIM PKA PKCA QIK RSK SGK TAO VRK2
FRAP_2475_2487	BARK1 CDK CK1 MTOR P38 PDHK PDK1 PEK PHK PKCA PLK RSK STE11 VRK2
GBRB2_427_439	AMPK BARK1 CDK DMPK MAPKAPK MST PAKA PEK PHK PKCA PKD QIK RSK STE7 VRK2
GPR6_349_361	AKT BARK1 CDK CK1 DMPK DYRK ERK IKK JNK MAPKAPK MELK P38 PDK1 PEK PHK PKCA QIK RAF RSK SGK VRK2
GPSM2_394_406	AMPK BARK1 CAMK1 CHK1 DMPK IKK MAPKAPK MARK PHK PKCA PKD VRK2
GRIK2_708_720	AUR BARK1 CDK DMPK IKK MAPKAPK MLK PAKA PDHK PEK PHK PIM PKA PKCA PKCD PKD PLK QIK VRK2
